PolicyNumber,InsuredAmount,StartDate,EndDate,AdminFee,BusinessDescription,BusinessEvent,ClientType,ClientRef,Commission,EffectiveDate,InsurerPolicyNumber,IPTAmount,Premium,PolicyFee,PolicyType,Insurer,Product,RenewalDate,RootPolicyRef
POL029,690000,07/05/2025,07/05/2026,69,Business XYZ,Renewal,Corporate,CR029,0.14,07/05/2025,IPN029,103.5,6000,35,Health,XYZ Insurers,Health Insurance,07/05/2026,RP029
POL030,560000,12/06/2025,12/06/2026,56,Business PQR,New Business,Individual,CR030,0.11,12/06/2025,IPN030,84,4800,28,Property,PQR Underwriters,Property Insurance,12/06/2026,RP030
POL031,920000,19/07/2025,19/07/2026,92,Business LMN,Policy Renewal,Corporate,CR031,0.17,19/07/2025,IPN031,138,8000,75,Auto,LMN Insurance,Auto Coverage,19/07/2026,RP031
POL032,480000,25/08/2025,25/08/2026,48,Business ABC,Renewal,Individual,CR029,0.13,25/08/2025,IPN032,72,4300,22,Health,ABC Insurance,Health Insurance,25/08/2026,RP032
POL033,1050000,30/09/2025,30/09/2026,105,Business XYZ,New Business,Corporate,CR033,0.19,30/09/2025,IPN033,157.5,9000,80,Property,XYZ Insurers,Property Insurance,30/09/2026,RP033
POL034,780000,16/10/2025,16/10/2026,78,Business PQR,Policy Renewal,Individual,CR034,0.15,16/10/2025,IPN034,117,6800,50,Auto,PQR Underwriters,Auto Coverage,16/10/2026,RP034
POL035,510000,22/11/2025,22/11/2026,51,Business LMN,Renewal,Corporate,CR029,0.1,22/11/2025,IPN035,76.5,4500,26,Health,LMN Insurance,Health Insurance,22/11/2026,RP035
POL036,850000,08/12/2025,08/12/2026,85,Business ABC,New Business,Individual,CR036,0.18,08/12/2025,IPN036,127.5,7500,65,Property,ABC Insurance,Property Insurance,08/12/2026,RP036
POL037,660000,14/01/2026,14/01/2027,66,Business XYZ,Policy Renewal,Corporate,CR037,0.16,14/01/2026,IPN037,99,5800,42,Auto,XYZ Insurers,Auto Coverage,14/01/2027,RP037
POL038,890000,19/02/2026,19/02/2027,89,Business PQR,Renewal,Individual,CR038,0.12,19/02/2026,IPN038,133.5,7800,70,Health,PQR Underwriters,Health Insurance,19/02/2027,RP038
POL039,440000,26/03/2026,26/03/2027,44,Business LMN,New Business,Corporate,CR039,0.09,26/03/2026,IPN039,66,3900,18,Property,LMN Insurance,Property Insurance,26/03/2027,RP039
POL040,1160000,30/04/2026,30/04/2027,116,Business ABC,Policy Renewal,Individual,CR040,0.2,30/04/2026,IPN040,174,10200,85,Auto,ABC Insurance,Auto Coverage,30/04/2027,RP040
